Pkg count,Package names,Imported name,Imported signature
29,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::ObjectTemplate::New,"public: static class v8::Local<class v8::ObjectTemplate> __cdecl v8::ObjectTemplate::New(class v8::Isolate * __ptr64,class v8::Local<class v8::FunctionTemplate>)"
29,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::ObjectTemplate::NewInstance,public: class v8::MaybeLocal<class v8::Object> __cdecl v8::ObjectTemplate::NewInstance(class v8::Local<class v8::Context>) __ptr64
28,"bcrypt, bignum, bufferutil, canvas, couchbase, deasync, ffi, fibers, hiredis, images, kerberos, lame, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::HandleScope::HandleScope,public: __cdecl v8::HandleScope::HandleScope(class v8::Isolate * __ptr64) __ptr64
28,"bcrypt, bignum, bufferutil, canvas, couchbase, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::V8::DisposeGlobal,private: static void __cdecl v8::V8::DisposeGlobal(class v8::internal::Object * __ptr64 * __ptr64)
28,"bcrypt, bignum, bufferutil, canvas, couchbase, ffi, fibers, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::V8::GlobalizeReference,"private: static class v8::internal::Object * __ptr64 * __ptr64 __cdecl v8::V8::GlobalizeReference(class v8::internal::Isolate * __ptr64,class v8::internal::Object * __ptr64 * __ptr64)"
25,"bignum, bufferutil, canvas, couchbase, fibers, hiredis, images, kerberos, lame, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",v8::FunctionTemplate::SetClassName,public: void __cdecl v8::FunctionTemplate::SetClassName(class v8::Local<class v8::String>) __ptr64
24,"bignum, canvas, couchbase, ffi, fibers, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, speaker, usage, zmq",v8::Object::Set,"public: bool __cdecl v8::Object::Set(class v8::Local<class v8::Value>,class v8::Local<class v8::Value>) __ptr64"
23,"bcrypt, bignum, canvas, couchbase, ffi, fibers, hiredis, images, kerberos, leveldown, libxmljs, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, ref, serialport, sqlite3, utf-8-validate, websocket, zmq",v8::Isolate::ThrowException,public: class v8::Local<class v8::Value> __cdecl v8::Isolate::ThrowException(class v8::Local<class v8::Value>) __ptr64
22,"canvas, couchbase, deasync, ffi, fibers, hiredis, iconv, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, nodegit, protagonist, serialport, speaker, utf-8-validate, websocket, zmq",v8::FunctionTemplate::New,"public: static class v8::Local<class v8::FunctionTemplate> __cdecl v8::FunctionTemplate::New(class v8::Isolate * __ptr64,void (__cdecl*)(class v8::FunctionCallbackInfo<class v8::Value> const & __ptr64),class v8::Local<class v8::Value>,class v8::Local<class v8::Signature>,int,enum v8::ConstructorBehavior)"
22,"bignum, bufferutil, canvas, couchbase, fibers, hiredis, iconv, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, sqlite3, utf-8-validate, websocket, zmq",v8::Object::SetAlignedPointerInInternalField,"public: void __cdecl v8::Object::SetAlignedPointerInInternalField(int,void * __ptr64) __ptr64"
